SimilarityRank,TeamName,SimilarityPct,ChampionPct,FinalFourPct,TournamentPotential,AdjEM,EM_Diff,EM_MatchPct,RankAdjEM,Rank_Diff,Rank_MatchPct,AdjOE,OE_Diff,OE_MatchPct,AdjDE,DE_Diff,DE_MatchPct,Assessment
1,Tennessee,92.8720514171327,14.3,14.3,2.1275165141713273,31.4398,2.719800000000003,90.52994428969359,5,-0.40000000000000036,98.0,118.461,-2.138999999999996,98.22636815920399,87.0214,-4.778599999999997,94.79455337690632,Nearly perfect efficiency margin; Ideal national ranking (top 5-7); Typical champion-level offense; Elite defense (better than typical champions)
2,Alabama,89.27532912113384,7.1,14.3,2.0467632912113385,29.5005,0.7805,97.28238161559888,6,0.5999999999999996,97.0,127.202,6.602000000000004,94.52570480928689,97.7011,5.9011,93.57178649237473,Nearly perfect efficiency margin; Ideal national ranking (top 5-7); Elite offense (better than typical champions); Defense significantly below champion standards
3,Florida,83.80507926015072,7.1,35.7,2.0944287926015073,34.0189,5.298900000000003,81.54979108635096,4,-1.4000000000000004,93.0,126.715,6.115000000000009,94.92951907131011,92.6966,0.8966000000000065,99.02331154684096,Significantly stronger overall efficiency than typical champions; Ideal national ranking (top 5-7); Elite offense (better than typical champions); Typical champion-level defense
4,Texas Tech,82.9264768998897,0.0,0.0,1.940046768998897,27.6391,-1.0808999999999997,96.23642061281338,7,1.5999999999999996,92.0,124.122,3.5220000000000056,97.07960199004975,96.4832,4.683199999999999,94.89847494553376,Nearly perfect efficiency margin; Ideal national ranking (top 5-7); Typical champion-level offense; Defense slightly below champion standards
5,Houston,74.76665371358764,14.3,28.6,2.031426537135877,35.088,6.368000000000002,77.82729805013926,3,-2.4000000000000004,88.0,124.192,3.5919999999999987,97.02155887230514,89.1041,-2.6958999999999946,97.0632897603486,Significantly stronger overall efficiency than typical champions; Strong national ranking (top 10); Typical champion-level offense; Typical champion-level defense
6,Gonzaga,72.92002100647048,0.0,7.1,1.8265302100647045,27.2665,-1.4534999999999982,94.93906685236769,8,2.5999999999999996,87.0,125.031,4.431000000000012,96.32587064676616,97.7648,5.964799999999997,93.50239651416122,Nearly perfect efficiency margin; Strong national ranking (top 10); Typical champion-level offense; Defense significantly below champion standards
7,Michigan St.,63.85797519645586,21.4,28.6,1.7244777519645587,26.9949,-1.7250999999999976,93.99338440111421,9,3.5999999999999996,82.0,118.018,-2.5819999999999936,97.85903814262024,91.0233,-0.7766999999999911,99.15392156862747,Nearly perfect efficiency margin; Strong national ranking (top 10); Typical champion-level offense; Typical champion-level defense
8,Auburn,63.6004792874961,0.0,28.6,1.9532987928749612,36.4647,7.744700000000002,73.03377437325905,2,-3.4000000000000004,83.0,130.74,10.140000000000015,91.59203980099501,94.2749,2.474900000000005,97.30403050108931,Significantly stronger overall efficiency than typical champions; Strong national ranking (top 10); Elite offense (better than typical champions); Typical champion-level defense
9,Duke,53.91352032797471,21.4,42.9,1.9206032032797469,39.3734,10.653399999999998,62.90598885793873,1,-4.4,78.0,128.934,8.334000000000003,93.08955223880596,89.561,-2.23899999999999,97.56100217864925,Significantly stronger overall efficiency than typical champions; Strong national ranking (top 10); Elite offense (better than typical champions); Typical champion-level defense
10,Wisconsin,53.55075515296293,0.0,14.3,1.6109695515296292,26.7731,-1.9468999999999994,93.22110027855153,10,4.6,77.0,123.811,3.2110000000000127,97.33747927031509,97.0375,5.237499999999997,94.29466230936819,Nearly perfect efficiency margin; Strong national ranking (top 10); Typical champion-level offense; Defense significantly below champion standards
11,Iowa St.,43.887845719487835,2.0,5.0,1.4913624571948783,25.9242,-2.7958,90.26532033426184,11,5.6,72.0,118.604,-1.9959999999999951,98.34494195688227,92.6794,0.879400000000004,99.04204793028322,Nearly perfect efficiency margin; Good national ranking (top 15); Typical champion-level offense; Typical champion-level defense
